id,fecha,duracion_min,duracion_min,agente,telefono_cliente,resultado
1,2024-05-22,21:53,1.48,Duilio Campos,+34629 197 500,Llamar después
2,2025-03-15,01:13,12.57,Leonardo Jimenez,+34725 146 334,Venta
3,2023-09-17,03:54,5.43,Nazaret Oller,+34740 89 91 79,No interesado
4,2024-04-05,13:49,5.26,Roxana Céspedes,+34745 94 61 46,Llamar después
5,2024-10-19,17:59,4.54,Violeta Ropero,+34918 934 367,No interesado
6,2024-04-05,03:47,4.61,Bienvenida Seguí,+34 705 34 54 78,No interesado
7,2024-10-03,02:43,12.76,Reinaldo Atienza,+34 898 37 29 97,No interesado
8,2023-09-13,15:39,5.7,José Mari Pino,+34734 002 160,Llamar después
9,2024-03-17,05:04,8.76,Isabel Sarmiento,+34724 006 669,No interesado
10,2024-01-04,16:53,3.96,Vicenta Rodriguez,+34 677 36 61 41,No interesado
11,2024-11-23,17:26,11.61,Sebastián Velasco,+34948 474 373,Llamar después
12,2023-09-21,23:31,5.8,Seve Alegria,+34960 754 349,Llamar después
13,2024-04-11,04:55,3.31,Graciano Sevilla,+34846 74 33 87,Llamar después
14,2024-02-04,15:33,5.3,Coral Badía,+34 993699119,Venta
15,2025-06-17,10:38,12.16,Abraham Bautista,+34 709490566,Llamar después
16,2025-07-14,19:45,10.68,Leocadia Coronado,+34 712838593,Llamar después
17,2025-07-14,05:08,7.16,Marcela Ricart,+34 744074353,No interesado
18,2024-04-25,08:48,9.29,Emma Dueñas,+34 714265881,Venta
19,2025-01-30,10:10,7.73,Alma Correa,+34 818 84 73 66,No interesado
20,2023-08-15,20:04,13.95,Carlos Vendrell,+34 731798762,Venta
21,2025-05-03,17:45,4.64,Eusebio Aguirre,+34 736 111 374,Venta
22,2025-06-11,16:01,14.27,Corona Castilla,+34748108177,No interesado
23,2025-03-11,02:40,3.41,Amor Sotelo,+34 824669082,Llamar después
24,2024-12-17,14:16,3.94,León Baena,+34891904831,No interesado
25,2024-06-06,12:03,7.13,Jacinta Marcos,+34681 213 788,Llamar después
26,2024-03-31,21:11,12.52,Carlota Bautista,+34 695 136 398,Venta
27,2025-04-18,15:24,8.34,Ernesto Sola,+34733 28 98 44,Venta
28,2025-05-28,10:09,4.82,Eugenio Cerro,+34 703132401,Llamar después
29,2024-06-18,02:56,1.49,Fernanda Valero,+34 740092812,No interesado
30,2024-04-15,16:17,10.99,Estela Oliveras,+34949 535 456,No interesado
31,2025-02-19,11:43,8.09,Francisco Mateo,+34 738 573 849,Llamar después
32,2023-11-28,18:36,2.37,Haroldo Cabanillas,+34 743515437,Llamar después
33,2024-01-26,22:06,9.28,Gabriel Castillo,+34706 433 506,No interesado
34,2023-10-23,07:43,11.24,Vidal Martí,+34691 823 794,Llamar después
35,2024-10-23,20:57,5.06,Teodoro Fajardo,+34735 61 33 22,Llamar después
36,2025-01-29,09:50,10.7,Yago Pulido,+34 708496638,Venta
